"campaign_id","adgroup_id","kwd_id","adcid","conversion_time_in_est","conversions","revenue","net_revenue","dt"
"219577","15412927","353019353","1651799429020200001",,0,,,"2022-05-05"
"219577","15412927","353019353","1651844247010100002",,0,,,"2022-05-06"
"219577","15412927","353001447","1642053772020100002",,0,,,"2022-04-27"
"219577","15412929","353034471","1651786158010300002",,0,,,"2022-05-05"
"219577","15412927","353001447","1642053772020100003",,0,,,"2022-04-27"
"219577","15412927","353019353","1651824964010300002",,0,,,"2022-05-06"
"219577","15412927","353001447","1642053772020100005",,0,,,"2022-04-27"
"219577","15412927","353019353","1651804105020200000",,0,,,"2022-05-05"
"219577","15412927","353019353","1651844630010200001",,0,,,"2022-05-06"
"219577","15412929","353050407","1651845903010100000",,0,,,"2022-05-06"
"219577","15412927","353001447","1642053772020100004",,0,,,"2022-04-27"
"219577","15412927","353001447","1642053772020100001",,0,,,"2022-05-04"
"219577","15412929","353050843","1651836139010100000",,0,,,"2022-05-06"
"219577","15412929","353058283","1651804578010300000",,0,,,"2022-05-05"
"219577","15412929","353050409","1651795581020200003",,0,,,"2022-05-05"
"219577","15412927","353019353","1651802487020100001",,0,,,"2022-05-05"
"219577","15412929","353050409","1651797568010200001",,0,,,"2022-05-05"
"219577","15412929","353050407","1651795674020200000",,0,,,"2022-05-05"
"219577","15412927","353001447","1642053772020100001","2022-04-27 00:39:08.000",1,31.990000000000002,3.9528005696787427,"2022-04-27"
"219577","15412927","353019353","1651869833010300000",,0,,,"2022-05-06"
